Match_ID,Date,Year,Format,Opponent,Venue,City,Innings_No,Runs,Balls_Faced,Fours,Sixes,Strike_Rate,Dismissed,Dismissal,Data_Source
1327505,2022-09-25,2022,T20I,Australia,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,1,25,16,2,1,156.25,0,Not Out,Raw JSON
1298150,2022-10-23,2022,T20I,Pakistan,Melbourne Cricket Ground,Melbourne,1,40,37,1,2,108.11,1,caught,Raw JSON
1298164,2022-10-30,2022,T20I,South Africa,Perth Stadium,Perth,1,2,3,0,0,66.67,1,caught,Raw JSON
1298169,2022-11-02,2022,T20I,Bangladesh,Adelaide Oval,Adelaide,1,5,6,0,0,83.33,1,caught,Raw JSON
1298176,2022-11-06,2022,T20I,Zimbabwe,Melbourne Cricket Ground,Melbourne,1,18,18,2,0,100.0,1,caught,Raw JSON
1298178,2022-11-10,2022,T20I,England,Adelaide Oval,Adelaide,1,63,33,4,5,190.91,1,hit wicket,Raw JSON
1322276,2022-11-20,2022,T20I,New Zealand,"Bay Oval, Mount Maunganui",Mount Maunganui,1,13,13,0,0,100.0,1,caught,Raw JSON
1322277,2022-11-22,2022,T20I,New Zealand,"McLean Park, Napier",Napier,1,30,18,3,1,166.67,0,Not Out,Raw JSON
1348640,2023-01-03,2023,T20I,Sri Lanka,"Wankhede Stadium, Mumbai",Mumbai,1,29,27,4,0,107.41,1,caught,Raw JSON
1348641,2023-01-05,2023,T20I,Sri Lanka,"Maharashtra Cricket Association Stadium, Pune",Pune,1,12,12,1,1,100.0,1,caught,Raw JSON
1348642,2023-01-07,2023,T20I,Sri Lanka,"Saurashtra Cricket Association Stadium, Rajkot",Rajkot,1,4,4,0,0,100.0,1,caught,Raw JSON
1348643,2023-01-10,2023,ODI,Sri Lanka,"Barsapara Cricket Stadium, Guwahati",Guwahati,1,14,12,0,1,116.67,1,caught,Raw JSON
1348644,2023-01-12,2023,ODI,Sri Lanka,"Eden Gardens, Kolkata",Kolkata,1,36,53,4,0,67.92,1,caught,Raw JSON
1348646,2023-01-18,2023,ODI,New Zealand,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,1,28,38,3,0,73.68,1,bowled,Raw JSON
1348648,2023-01-24,2023,ODI,New Zealand,"Holkar Cricket Stadium, Indore",Indore,1,54,38,3,3,142.11,1,caught,Raw JSON
1348649,2023-01-27,2023,T20I,New Zealand,"JSCA International Stadium Complex, Ranchi",Ranchi,1,21,20,1,1,105.0,1,caught and bowled,Raw JSON
1348650,2023-01-29,2023,T20I,New Zealand,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,1,15,20,1,0,75.0,0,Not Out,Raw JSON
1348651,2023-02-01,2023,T20I,New Zealand,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,1,30,17,4,1,176.47,1,caught,Raw JSON
1348656,2023-03-17,2023,ODI,Australia,"Wankhede Stadium, Mumbai",Mumbai,1,25,31,3,1,80.65,1,caught,Raw JSON
1348657,2023-03-19,2023,ODI,Australia,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,1,1,3,0,0,33.33,1,caught,Raw JSON
1348658,2023-03-22,2023,ODI,Australia,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,40,40,3,1,100.0,1,caught,Raw JSON
1381214,2023-07-27,2023,ODI,West Indies,"Kensington Oval, Bridgetown, Barbados",Bridgetown,1,5,7,0,0,71.43,0,Not Out,Raw JSON
1381215,2023-07-29,2023,ODI,West Indies,"Kensington Oval, Bridgetown, Barbados",Bridgetown,1,7,14,0,0,50.0,1,caught,Raw JSON
1381216,2023-08-01,2023,ODI,West Indies,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,1,70,52,4,5,134.62,0,Not Out,Raw JSON
1381217,2023-08-03,2023,T20I,West Indies,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,1,19,19,3,0,100.0,1,bowled,Raw JSON
1381218,2023-08-06,2023,T20I,West Indies,"Providence Stadium, Guyana",Providence,1,24,18,0,2,133.33,1,bowled,Raw JSON
1381219,2023-08-08,2023,T20I,West Indies,"Providence Stadium, Guyana",Providence,1,20,15,1,1,133.33,0,Not Out,Raw JSON
1381221,2023-08-13,2023,T20I,West Indies,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,1,14,18,0,1,77.78,1,caught,Raw JSON
1388394,2023-09-02,2023,ODI,Pakistan,Pallekele International Cricket Stadium,Kandy,1,87,90,7,1,96.67,1,caught,Raw JSON
1388407,2023-09-12,2023,ODI,Sri Lanka,"R Premadasa Stadium, Colombo",Colombo,1,5,18,0,0,27.78,1,caught,Raw JSON
1384396,2023-10-08,2023,ODI,Australia,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,11,8,0,1,137.5,0,Not Out,Raw JSON
1415719,2024-06-09,2024,T20I,Pakistan,"Nassau County International Cricket Stadium, New York",New York,1,7,12,1,0,58.33,1,caught,Raw JSON
EXT_2024_AFG_IND_T20I_43,2024-06-20,2024,T20I,Afghanistan,Kensington Oval,Bridgetown,1,32,24,3,2,133.33,1,caught,Verified scorecard supplement
1415747,2024-06-22,2024,T20I,Bangladesh,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,1,50,27,4,3,185.19,0,Not Out,Raw JSON
1415751,2024-06-24,2024,T20I,Australia,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,1,27,17,1,2,158.82,0,Not Out,Raw JSON
1415754,2024-06-27,2024,T20I,England,"Providence Stadium, Guyana",Providence,1,23,13,1,2,176.92,1,caught,Raw JSON
1415755,2024-06-29,2024,T20I,South Africa,"Kensington Oval, Bridgetown, Barbados",Bridgetown,1,5,2,1,0,250.0,0,Not Out,Raw JSON
1442987,2024-07-27,2024,T20I,Sri Lanka,Pallekele International Cricket Stadium,Kandy,1,9,10,1,0,90.0,1,bowled,Raw JSON
1442988,2024-07-28,2024,T20I,Sri Lanka,Pallekele International Cricket Stadium,Kandy,1,22,9,3,1,244.44,0,Not Out,Raw JSON
1439893,2024-10-06,2024,T20I,Bangladesh,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Gwalior,1,39,16,5,2,243.75,0,Not Out,Raw JSON
1439894,2024-10-09,2024,T20I,Bangladesh,"Arun Jaitley Stadium, Delhi",Delhi,1,32,19,2,2,168.42,1,caught,Raw JSON
1439895,2024-10-12,2024,T20I,Bangladesh,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,1,47,18,4,4,261.11,1,caught,Raw JSON
1449301,2024-11-08,2024,T20I,South Africa,"Kingsmead, Durban",Durban,1,2,6,0,0,33.33,1,caught,Raw JSON
1449302,2024-11-10,2024,T20I,South Africa,"St George's Park, Gqeberha",Gqeberha,1,39,45,4,1,86.67,0,Not Out,Raw JSON
1449303,2024-11-13,2024,T20I,South Africa,"SuperSport Park, Centurion",Centurion,1,18,16,3,0,112.5,1,lbw,Raw JSON
1439899,2025-01-22,2025,T20I,England,"Eden Gardens, Kolkata",Kolkata,1,3,4,0,0,75.0,0,Not Out,Raw JSON
1439900,2025-01-25,2025,T20I,England,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,7,6,1,0,116.67,1,caught,Raw JSON
1439901,2025-01-28,2025,T20I,England,"Saurashtra Cricket Association Stadium, Rajkot",Rajkot,1,40,35,1,2,114.29,1,caught,Raw JSON
1439902,2025-01-31,2025,T20I,England,"Maharashtra Cricket Association Stadium, Pune",Pune,1,53,30,4,4,176.67,1,caught,Raw JSON
1439903,2025-02-02,2025,T20I,England,"Wankhede Stadium, Mumbai",Mumbai,1,9,6,0,1,150.0,1,caught,Raw JSON
1439904,2025-02-06,2025,ODI,England,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Nagpur,1,9,6,0,1,150.0,0,Not Out,Raw JSON
1439905,2025-02-09,2025,ODI,England,"Barabati Stadium, Cuttack",Cuttack,1,10,6,2,0,166.67,1,caught,Raw JSON
1439906,2025-02-12,2025,ODI,England,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,1,17,9,0,2,188.89,1,bowled,Raw JSON
1466418,2025-02-23,2025,ODI,Pakistan,Dubai International Cricket Stadium,Dubai,1,8,6,1,0,133.33,1,caught,Raw JSON
1466425,2025-03-02,2025,ODI,New Zealand,Dubai International Cricket Stadium,Dubai,1,45,45,4,2,100.0,1,caught,Raw JSON
1466426,2025-03-04,2025,ODI,Australia,Dubai International Cricket Stadium,Dubai,1,28,24,1,3,116.67,1,caught,Raw JSON
1466428,2025-03-09,2025,ODI,New Zealand,Dubai International Cricket Stadium,Dubai,1,18,18,1,1,100.0,1,caught and bowled,Raw JSON
1496931,2025-09-19,2025,T20I,Oman,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,1,1,1,0,0,100.0,0,Not Out,Raw JSON
1496933,2025-09-21,2025,T20I,Pakistan,Dubai International Cricket Stadium,Dubai,1,7,7,1,0,100.0,0,Not Out,Raw JSON
1496935,2025-09-24,2025,T20I,Bangladesh,Dubai International Cricket Stadium,Dubai,1,38,29,4,1,131.03,1,caught,Raw JSON
1496937,2025-09-26,2025,T20I,Sri Lanka,Dubai International Cricket Stadium,Dubai,1,2,3,0,0,66.67,1,caught and bowled,Raw JSON
1479576,2025-12-09,2025,T20I,South Africa,"Barabati Stadium, Cuttack",Cuttack,1,59,28,6,4,210.71,0,Not Out,Raw JSON
1479577,2025-12-11,2025,T20I,South Africa,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,1,20,23,0,1,86.96,1,caught,Raw JSON
1479580,2025-12-19,2025,T20I,South Africa,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,1,63,25,5,5,252.0,1,caught,Raw JSON
1490234,2026-01-21,2026,T20I,New Zealand,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Nagpur,1,25,16,3,1,156.25,1,caught,Raw JSON
1490237,2026-01-28,2026,T20I,New Zealand,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,1,2,5,0,0,40.0,1,caught,Raw JSON
1490238,2026-01-31,2026,T20I,New Zealand,"Greenfield International Stadium, Thiruvananthapuram",Thiruvananthapuram,1,42,17,1,4,247.06,1,caught,Raw JSON
1512721,2026-02-07,2026,T20I,United States of America,"Wankhede Stadium, Mumbai",Mumbai,1,5,6,1,0,83.33,1,caught,Raw JSON
1512736,2026-02-12,2026,T20I,Namibia,"Arun Jaitley Stadium, Delhi",Delhi,1,52,28,4,4,185.71,1,caught,Raw JSON
1512745,2026-02-15,2026,T20I,Pakistan,"R Premadasa Stadium, Colombo",Colombo,1,0,1,0,0,0.0,1,caught,Raw JSON
1512754,2026-02-18,2026,T20I,Netherlands,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,1,30,21,0,3,142.86,1,caught,Raw JSON
1512761,2026-02-22,2026,T20I,South Africa,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,1,18,17,0,1,105.88,1,caught,Raw JSON
1512766,2026-02-26,2026,T20I,Zimbabwe,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,50,23,2,4,217.39,0,Not Out,Raw JSON
1512770,2026-03-01,2026,T20I,West Indies,"Eden Gardens, Kolkata",Kolkata,1,17,14,2,0,121.43,1,caught,Raw JSON
1512772,2026-03-05,2026,T20I,England,"Wankhede Stadium, Mumbai",Mumbai,1,27,12,3,2,225.0,1,run out,Raw JSON
1512773,2026-03-08,2026,T20I,New Zealand,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,1,18,13,1,1,138.46,1,caught,Raw JSON
